index,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
0,New York,NY,New York,Queens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,409000,415000,419000,425000,420000,419000,405000,410000,419000,409999,439000,439000,449000,439000,449999,469900,497000,548000,529000,539000,530000,549000,549000,558999.5,599000,575000,575000,595000,619000,589900,609999,624000,653000,688888,685000,695000,775000,779000,729000,790000,729000,730000,739000,709000,729000,739000,749000,735000,728000,749000,790000,815000,850000,865000,850000,842500,849000
1,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549000,540000,529000,543000,539900,565450,575000,579000,589000,579000,579950,579000,569000,525000,535000,575000,599000,619700,639000,649000,647750,649000,649000,649900,649500,649000,650000,665000,675000,695000,690000,699000,699000,699000,699000,699000,709000,699900,700000,702000,725000,739900,749000,746000,749000,734995,745000
2,Chicago,IL,Chicago,Cook,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219500,215000,208000,232000,249000,259000,260000,265000,265000,259000,250000,249900,239900,229000,224900,239000,250000,255000,259900,259900,255000,249900,249900,248000,240000,237000,235000,249900,265000,274900,275000,275000,270000,269000,270000,269900,265000,251000,255000,275000,290000,299000,299000,299900,299000,290000,294900
3,Houston,TX,Houston,Harris,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314900,320000,329900,325000,320000,329700,329000,329900,335000,335000,339000,339900,339000,344000,339900,339000,342500,339000,339000,329900,325000,320000,319000,310990,315000,319900,325000,325000,327990,321945,319900,325000
4,Philadelphia,PA,Philadelphia,Philadelphia,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,139900,139000,139900,149900,159000,159500,159500,150000,149000,149000,149000,144000,130000,135000,140450,149900,159900,160000,159900,154945,149999.5,149900,150000,149990,144900,139900,140000,149900,156900,159900,159900,159000,152000,154900,159887.5,154900,149900,152000,154900,167500,179000,184900,182500,184900,179900,189000
5,Phoenix,AZ,Phoenix,Maricopa,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,189900,189000,195000,200000,208672,214750,216797,215000,215551,219900,219974,211850,200000,216500,225000,230000,238000,240000,240000,235000,239999.5,240000,240000,245000,240000,244900,249900,250000,259000,259500,259894,255000,252900,250000,250000,249900,249900,249900,254900,255000,263700,268519,266000,268500,265000,265000
6,Las Vegas,NV,Las Vegas,Clark,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,170000,171500,175000,179888,180000,184900,182000,193000,195000,195000,189995,190000,194460.5,199900,204900,209900,215000,215000,217500,218990,219950,219900,220000,220000,220000,219900,222900,225000,229900,234999.5,238500,239900,242000,243000,245000,245000,248844,250000,255000,260000,264970,269900,274990,275000,279000
7,San Antonio,TX,San Antonio,Bexar,8,139900,141195,142500,144000,144000,145000,144900,144000,150980,150000,144900,143500,144900,145000,147500,149000,150000,151510.5,149900,147900,140405,139900,135744,130630,134900,134500,135495,135000,136995,140995,140000,141990,140075,144900,159900,159900,160000,167000,169769,172000,175000,177700,178900,179500,182490,185000,183865,187920,187806.5,189900,195100,195021,200000,198995,196145,200000,197000,195000,194900,199950,205000,210992.5,211490,220990,222490,225435,230000,229900,233625,229000,228995,228122.5,228990,217990,222702,224000,224000,225900,225841,225000,221990,225000,227000,220000,224900,229000,234496,239900,240000,244900,244655,240000,240992.5
8,San Diego,CA,San Diego,San Diego,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459900,465000,461500,475000,479900,499900,470000,499000,525000,519900,519000,510000,520000,499000,499900,515000,539999,559000,575000,540000,575000,575000,575000,579900,580000,599000,589000,599000,599900,619000,629000,628000,629000,624888,615000,609000,600000,603500,619000,625000,629900,659888,675000,669000,675000,669000,650000
9,Dallas,TX,Dallas-Fort Worth,Dallas,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000,242000,225000,229900,242000,259500,269000,250000,259900,280000,250000,259000,245000,240000,249000,272900,289000,295000,299900,299900,292500,295000,313200,320000,325000,315000,316000,327353,350000,363075,367500,369000,374900,360000,369250,368000,369000,350000,355000,375000,389900,400000,409900,400000,398250,389000,389000
10,San Jose,CA,San Jose,Santa Clara,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615000,608650,598000,605000,639250,649000,674000,670000,665000,664950,658000,649999,638000,619888,638944,678000,699000,700000,728000,749000,749000,748000,741880,738000,725000,718884,725000,750000,789000,795000,799000,799000,798888,785000,789000,789888,775000,769000,765000,780000,799969,806302,825000,829000,825000,838500,869999
11,Jacksonville,FL,Jacksonville,Duval,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,139900,139900,143000,147000,149900,154900,155990,159000,159900,159900,155850,156990,145900,149500,154000,155000,159900,160000,161000,162000,165000,169000,162000,165000,162900,163900,159900,164900,170000,174900,178900,175000,172000,169900,169900,169000,167900,169900,175000,179900,185000,190000,190000,194900,191859,195000
12,San Francisco,CA,San Francisco,San Francisco,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866500,889000,859000,889000,895000,899000,922000,925000,899000,875000,929000,949000,948000,925000,950000,998000,998000,1049000,1049000,1025000,998000,998000,1050000,1056000,1050000,1049000,995000,1095000,1100000,1149000,1150000,1149000,1100000,1099888,1149000,1169000,1150000,1150000,1150400,1195000,1195000,1196000,1195000,1189000,1159000,1175000,1195000
13,Indianapolis,IN,Indianapolis,Marion,14,100000,104900,105000,105000,104910.5,104976,103900,103700,109900,109900,109900,104900,104000,104500,104900,107650,109900,110900,110000,109900,109000,109000,104900,99900,99900,99900,100000,104900,105000,105950,104975,104900,104900,100000,104900,102000,100000,104900,109900,113500,115000,116900,116700,115000,115000,115000,114900,110000,109900,112500,118900,120000,124700,124900,124900,124000,119994.5,119900,117000,114500,114000,114900,118900,119999,124900,124900,124900,119900,119900,116000,115000,113400,107500,107895,112997.5,115999,120000,122900,122100,120000,120000,122498.5,120000,118250,119000,119900,125000,132900,139900,144900,140000,140000,146900
14,Austin,TX,Austin,Travis,15,225000,225000,224900,229000,235000,236900,234900,237500,239290.5,235000,234900,229900,228797,229000,230000,239000,239950,235995,235000,229000,219900,219471,214900,209500,209000,210305,222990,227500,229000,225000,225000,221579,219000,219900,255000,264995,264500,270200,275000,284939,289900,289000,290745,285900,287213,295000,299494,298990,305000,318250,327422,345000,349900,350000,341798,345000,341944,340000,336990,345350,349000,349900,355000,365000,366990,365000,355000,359900,359990,364900,355000,360000,364900,364990,369000,372900,370000,384000,385000,375000,376990,375000,376990,369900,365500,375000,389000,399900,399999,399000,399000,390000,389900
15,Fort Worth,TX,Dallas-Fort Worth,Tarrant,16,134900,136215,138998,139000,137900,135000,134900,135000,142967.5,139000,133900,129900,129900,129800,131500,134900,136000,139900,137500,134900,133500,133000,128900,126900,125990,128990,129000,129000,129500,129995,129900,129900,128525,131945,149900,149970,152000,154990,155000,159000,159990,164900,164900,164000,163995,162990,161683,162525,162950.5,167000,169900,173500,174950,170000,171900,175990,179900,179000,175407.5,176900,179900,178500,184900,186495,185150,187700,187900,188995,189425,185900,189000,189000,190000,189900,195000,199900,204450,210000,213000,214900,212000,215000,215000,212990,215652.5,224900,229900,234900,235000,238495,239000,236293.5,235900
16,Columbus,OH,Columbus,Franklin,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000,105250,104051,105900,111500,118000,121950,124900,123900,120000,119900,119900,115000,110000,114900,119000,120000,125000,134850,133000,134900,134000,129900,129500,129000,125000,125000,129900,136900,140805,145000,146613,147000,144900,145900,144900,144900,139000,134900,136254,144900,152400,159900,162900,164900,162900,159900
17,Memphis,TN,Memphis,Shelby,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95000,89900,87500,79500,79900,84900,85500,90000,92500,89900,87500,79900,69900,69900,74900,77500,79000,80387,85000,89900,89900,84250,79900,79009,75000,67000,66500,67000,68000,74160,76000,82000,89000,85000,83250,84900,79900,78000,75000,74950,77000,82000,84900,89000,89900,89900,89900
18,Charlotte,NC,Charlotte,Mecklenburg,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164900,166995,175000,184900,189900,189900,189700,186900,186990,187900,188000,182788,180000,173675,175000,185000,189000,190400,193500,189900,190000,189000,189900,185000,185000,189900,200000,205000,215000,225000,229000,229900,225000,225000,229900,225000,225000,231337.5,240047.5,255000,259000,263990,259000,260000,249900,249900,250000,255000,259900,255000,259900,267750,279929,279900,280000,274900,269900,275000
19,El Paso,TX,El Paso,El Paso,20,147000,148970,147975,149000,149999,149950,149950,150000,149950,149950,149900,149500,148900,148000,150000,154900,157500,159900,157794,158950,155950,153000,149900,148450,149900,149500,152000,156550,154900,154950,154900,150000,149900,147950,149950,149900,149000,149000,149900,150000,154000,154950,154950,155000,155000,154492.5,150900,151950,151700,151950,152000,159000,159000,155000,154999.5,152950,149950,149000,147000,148925,148972.5,149950,152450,155000,157950,156500,155950,155000,155000,155000,155000,154500,154100,154450,153900,155000,157500,155000,155000,154000,154900,155000,154900,152000,152000,154200,155700,158700,159950,163450,161500,161950,162500
20,Boston,MA,Boston,Suffolk,21,319888,349000,349000,349000,342500,339900,339000,329000,339900,349000,345000,334900,339000,359000,359000,365000,379000,379000,369900,359900,365500,369000,349000,340000,365000,369000,375000,379000,379900,379000,374900,362450,369000,369000,419250,426500,439000,449900,449000,449000,450000,459000,469000,461000,466000,449900,469000,479000,489000,519999.5,479000,479000,484000,479900,485000,489000,489900,495000,499000,499000,515000,549000,539000,549000,549900,549000,549000,549000,550000,565000,575000,569450,592450,599900,599900,639000,629000,625000,625000,633500,633500,629000,635000,635000,629000,675000,679000,679450,695000,695000,699000,715000,719000
21,Seattle,WA,Seattle,King,22,399000,395250,389500,385000,385000,389000,380000,374999,375000,359000,349925,339950,322500,319950,325000,325000,329000,329900,329900,334910.5,329950,315000,300000,295000,279950,299900,315000,339950,349974.5,350000,350000,344450,349950,339900,399800,395000,389800,399000,409975,419000,425000,429950,435000,428497.5,425000,429000,425000,419990,410000,417000,419950,429950,435000,459000,459950,449000,459950,459000,449950,435000,444000,459000,480000,489925,490000,499900,499950,499999.5,519000,525000,529950,535000,529950,539950,554950,575000,579974.5,585000,589950,584950,595000,599000,599900,599950,599000,599974.5,619950,629950,649950,669000,674206,650000,650000
22,Baltimore,MD,Baltimore,Baltimore City,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500,114850,110000,115000,115000,106000,109900,100000,101500,99987,114900,119000,119000,110000,110000,114900,110000,104795,99000,99000,99999,105000,109900,114500,115000,110000,114900,115000,115000,114950,109900,104900,100000,110000,119900,125000,124900,124900,119900,119900,120000,125000,119997,119000,120250,129900,139900,140000,139900,139000,139000,139900
23,Denver,CO,Denver,Denver,24,239900,239974.5,240000,244900,240000,245000,242250,245000,259500,250000,228000,209000,200000,205000,215000,225000,238000,239000,235000,235000,235000,229900,224900,215000,214800,224900,229900,239900,249900,254997.5,248250,245000,247750,249900,274900,279000,275000,284950,290000,300000,309000,314400,319000,314900,319000,324900,315000,320950,320000,336000,349250,355000,369900,375000,370000,375000,379250,379900,385000,399500,414900,415000,415000,434900,425000,425000,425000,418000,419900,425000,429000,425000,435000,449000,459000,459000,465000,459000,449000,439900,449500,445000,445000,439000,450000,460000,475000,489900,479900,478199.5,475000,480000,475000
24,Washington,DC,Washington,District of Columbia,25,291250,299000,315000,329900,329000,329000,325000,325000,349000,334000,305000,316500,308000,319900,333000,340000,350000,359950,325000,349000,349945,359000,349900,349000,349000,355000,362500,375000,367600,377888.5,369000,349000,363700,379250,409700,399900,399650,415000,419900,428925,450000,469000,459000,440000,450000,469000,469000,454900,440000,444900,449000,464277.5,450000,449900,449500,438250,450000,460000,449900,435000,435000,439250,458950,479000,499000,495000,464999,475000,494450,499000,489000,489000,496000,509000,519825,549900,549900,559000,565000,549900,549000,550000,549000,549000,547000,539900,549000,550000,560000,565950,549999,529000,550000
25,Nashville,TN,Nashville,Davidson,26,159900,159900,159900,160000,159900,157000,154900,152700,159900,159900,155900,150000,149000,147900,149000,149900,149900,149900,148000,144900,139991,139900,134900,129900,130000,131900,134900,139900,140000,139900,138900,134900,138000,139000,159894,159900,156900,162000,164900,174900,179900,179900,179900,180250,184995,189900,179999,180000,179900,188000,199380,203900,210000,212000,211500,212000,215000,221000,219900,227900,229900,247900,254775,258000,250000,250000,249900,250000,259990,260000,269900,265950,275750,288112,290000,299000,299999.5,299900,289900,294000,295000,299000,299900,299900,299991,309900,319900,329000,339900,334900,325000,325000,325000
26,Milwaukee,WI,Milwaukee,Milwaukee,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,95900,85000,88500,94900,104900,109900,113200,112900,109900,109900,105000,99900,98800,95000,99000,100000,110000,119900,119900,117450,115000,114900,113450,109900,108450,103500,109000,114900,119500,119900,124900,124900,120000,122000,119900,118000,111900,104990,109949.5,115000,119900,119900,124900,124500,119970,122950
27,Tucson,AZ,Tucson,Pima,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,164800,162000,164900,165000,168250,169800,169900,169900,169900,169900,169900,166900,165000,166520,170000,173500,170000,175900,176500,172000,174990,175000,174900,175000,172500,174900,174900,175000,175000,179000,178600,175000,175000,177000,179000,179900,180000,184500,185000,185000,186021,189900,186000,189000,195000,197500
28,Portland,OR,Portland,Multnomah,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,300000,299900,299900,299000,295000,298000,299950,315000,319900,315000,329000,329900,329000,324900,319900,319999,320000,325000,334950,339900,344500,350000,350000,349900,349900,349900,359500,367750,359900,349900,350000,369000,379900,392000,399900,399900,399000,399000,399000,399000,396980.5,399900,409900,424000,430000,439000,439900,439000,429900,428500
29,Oklahoma City,OK,Oklahoma City,Oklahoma,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130269,130000,130000,130000,133450,135000,139500,137500,138900,140000,140000,142500,144900,144306,144900,145000,149900,149999.5,149900,149900,149900,147900,144999.5,146400,141500,151000,156700,159250,165005,170000,175000,174994.5,175000,178990,174900,175000,175000,175000,175000,178500,179430,180000,182072.5,179900,179633,179633,179000,179990,184922.5,183500,180000,179900,181204,184900,180000,185000,181642.5,184900
30,Omaha,NE,Omaha,Douglas,31,134000,135000,135000,135000,135000,135000,135000,135000,135900,135000,135000,130000,130000,130000,133500,134950,135000,136700,135000,135000,134900,133000,130000,128500,126769,129900,134900,136000,137000,132975,134900,130000,129900,130000,135000,132000,133500,135000,139500,142000,145000,144000,142000,140000,142000,140000,138000,137750,135000,139999.5,143000,146700,150000,155000,155000,155000,151500,148900,145000,142500,144950,154000,160000,169500,189000,179000,173250,172250,170000,168000,169925,169900,167150,176000,185950,190000,190000,189900,190000,185000,185000,180500,182500,185000,180000,197500,209450,215000,225000,224900,225000,210000,215000
31,Albuquerque,NM,Albuquerque,Bernalillo,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,188000,185000,186900,189900,192000,195000,195000,195000,197250,196000,192995,194900,192334,192000,193250,195000,195000,199900,199999,199900,199900,199000,198500,195000,196000,196945,198150,204900,205000,210000,215900,215000,215000,215000,215000,205000,202190,200000,204900,205000,210000,218000,219000,220000,219000,219000
32,Fresno,CA,Fresno,Fresno,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,216450,216300,218000,219000,219900,224999.5,225000,229000,229000,229000,225000,213250,215000,219000,219950,225000,224950,229000,229900,230000,234694,233500,229000,225000,223500,220000,225000,229950,229000,235000,239000,239900,240000,239000,235000,227900,225493.5,220000,219950,229000,242000,249900,249000,259000,259900,259925
33,Sacramento,CA,Sacramento,Sacramento,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227500,237745,244900,249000,249900,249900,249500,249500,255000,252250,249999.5,259900,260000,267000,269900,277450,279000,275000,269900,269750,269900,269900,265000,266500,269000,279999,295000,289900,289000,295000,295000,299000
34,Mesa,AZ,Phoenix,Maricopa,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,189900,189900,189900,197000,199800,203750,204700,207000,204900,205000,206650,199000,195900,200000,209900,215000,219900,227945,226000,225000,229500,229000,230000,230000,231925,230000,230000,234900,237777,237450,239000,239500,238900,239000,238900,238950,235000,235000,239000,244900,249000,249500,248950,246995,247900,249000
35,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,399000,396775,396000,399000,399900,419000,419000,420000,430000,423500,424900,415000,411250,417750,425000,429900,447700,459000,474888,479000,485000,479900,485000,489000,485000,479000,495000,499800,499900,500000,500000,499900,509000,514949.5,499000,499900,499450,492450,499000,499000,515000,539000,544900,545000,549000,549900
36,Kansas City,MO,Kansas City,Jackson,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145500,145000,145000,145000,140000,142000,144900,139900,129900,135000,144000,155000,165000,165000,166900,165000,160000,160000,164950,162500,157500,159900,165000,175000,185400,190000,190850,189900,185800,184250
37,Virginia Beach,VA,Virginia Beach,Virginia Beach City,38,254900,250000,250000,254000,255000,254800,250000,249900,249900,245000,239000,234900,230000,235900,235000,239000,240000,239900,237500,240000,239000,239000,225000,224900,224900,223200,229000,225000,229900,234000,229900,225000,216900,215000,235000,235000,237500,239239,246000,265000,259000,258700,250000,250000,259545,255000,250000,254900,254900,259900,264700,267900,266950,265500,269557,269900,268000,265000,260000,259900,265000,269000,270000,278950,282231,282900,279000,277400,275000,279900,275000,269900,269000,269900,273950,279900,284900,289000,285000,284500,285000,279911,279900,275000,275000,279900,279900,289000,289999,282900,284900,277400,275000
38,Colorado Springs,CO,Colorado Springs,El Paso,39,199900,199900,199900,205000,200950,205000,200000,200000,209900,194900,185000,179900,175000,174950,174950,175000,180000,184900,189000,185855.5,179900,175000,169000,159900,160000,159900,160000,165000,169900,169991,174943.5,179900,179900,184900,205000,206000,210000,209900,215000,220000,224900,224900,220000,225000,225000,219900,224675,224500,220000,227225,229250,237500,244900,249900,249000,248500,245000,244900,239900,244850,250000,250000,255000,263950,268000,264450,259900,259900,259900,259000,259900,262000,269500,265000,272700,276900,279900,279000,274999.5,270000,268000,269900,269900,276185,280000,290000,295000,299900,309900,313150,315875,310000,314900
39,Atlanta,GA,Atlanta,Fulton,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,179900,179000,189900,200000,222200,215000,220000,219000,213775,204900,200000,195000,189500,191250,199949.5,210000,219700,225000,234900,225000,234900,239900,244900,239900,235000,244999.5,245000,259000,270000,275000,269000,269000,259900,269000,275000,275000,260000,260000,279900,309900,330000,330000,335000,329900,320000,329950
40,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000,380000,385000,385000,379000,379900,380000,379000,384900,389000,395000,395000,404900,410000,400000,409949.5,416905.5,414700,399000,399500,428000,435000,440000,449000,459250,469000,459999.5,459900,450000,450000,450000,450000,450000,449000,445000,440000,440000,440000,445000,442226,439000,438300,438800,445000,449000,450000,450000
41,Oakland,CA,San Francisco,Alameda,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449000,430000,409999,409999,420000,438000,439750,449000,458168,449000,449000,445000,402500,380000,382500,432000,465000,469000,499000,519000,525000,509900,509950,529000,514300,499000,482500,499000,525000,562000,589000,598300,595000,579000,585000,599000,581000,550000,579000,589499.5,598744,599000,612500,615000,599000,599000,599000
42,Tulsa,OK,Tulsa,Tulsa,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124500,124900,125000,127700,129900,129900,129000,125000,125000,125000,125000,120000,119949.5,119500,122500,126000,129000,129500,130000,131995,135000,134900,129000,135000,124000,129500,129900,134900,138500,145450,145000,145000,145000,140000,143000,140000,139900,139900,140000,143000,149900,159900,159900,160000,160000,160000,159900,159900,155000,151375,150000,161500,169900,177700,175500,174700,171900,169900
43,Cleveland,OH,Cleveland,Cuyahoga,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,56900,55400,55000,58500,59900,60000,62500,59999.5,59900,59900,59500,54900,50000,54945,55900,55000,58500,58250,56000,54900,54900,52900,50000,49900,48500,49900,49900,53000,55000,57900,59900,59900,59900,59900,59900,59900,59000,57500,59900,60000,60000,65000,67900,69000,69900,69900
44,Honolulu,HI,Urban Honolulu,Honolulu,45,460000,445000,423500,410000,410000,420000,430000,499000,470000,429000,399000,399000,399000,380000,399000,415000,429000,430000,465000,484500,475000,478000,469250,470000,469000,469000,485000,495000,475000,450000,450000,450500,450000,440000,479000,475000,475000,510000,485000,499000,499000,450000,515000,529000,530000,528000,530000,548000,526500,538000,535000,535000,530000,499000,499000,499000,499894,500000,549000,569500,569000,577000,574000,560000,578000,578888,578000,590000,595000,590000,590000,598000,598000,550000,599000,599900,598000,625000,630000,648000,660000,672000,680000,685000,677000,659500,650000,668000,650000,650000,649749.5,649000,650000
45,Minneapolis,MN,Minneapolis-St Paul,Hennepin,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,184900,184900,199900,199900,209900,219900,219900,219000,218400,214900,209900,209900,209694,210000,215000,225000,229900,235000,236200,234900,234900,229900,229000,225000,220000,224900,230250,235000,239900,234900,232000,230000,229900,235000,239900,239900,229900,229950,241000,255000,265000,260000,267950,265900,264900,264000
46,Baton Rouge,LA,Baton Rouge,East Baton Rouge,47,177450,178900,178900,182500,185000,188000,184900,183170,184450,175000,169000,165000,155000,147000,149900,158000,159900,159975,159000,155000,157900,159000,149500,139900,144500,145000,149900,144650,148900,149900,149900,147900,143625,145000,159900,154900,157000,159000,165000,167000,167950,167900,165000,165000,169900,169000,163000,162500,159900,165000,165000,171900,175000,175000,175000,180000,179999,179900,187200,179900,189900,189900,194950,198900,196900,199000,199000,199900,205000,198000,194900,195900,198000,195850,199900,200900,205000,200000,199900,200000,199900,199000,199900,200000,197000,197000,200000,204900,206900,199900,209250,205000,207899.5
47,New Orleans,LA,New Orleans,Orleans,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299000,299500,299900,310000,319000,315000,315000,319000,295000,299000,299000,299000,300000,304900,299000,299000
48,Arlington,TX,Dallas-Fort Worth,Tarrant,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,155000,159900,152000,155000,155192.5,160000,164850,159997,161000,165000,164900,164950,160000,169700,169950,175000,185000,187000,182750,179900,175000,175000,179000,179900,180000,180000,189900,179000,179900,184825,189000,189900,190000,190000,189650,189000,189000,189900,190000,194500,199900,199900,206999,215000,215000,212500,215000
49,Raleigh,NC,Raleigh,Wake,50,199900,199900,199500,199000,199000,196000,193900,194500,192500,187900,185900,185000,179900,175000,175000,179900,184900,186736,186990,183900,179900,176900,169900,165000,180000,180000,184250,180000,179995,179000,175000,174650,179900,179900,193900,192227.5,194900,199900,204900,209900,214900,217237.5,219900,219900,219900,219900,215000,215000,207300,215000,217700,220000,224900,225000,224000,225000,225000,229000,225000,219450,220000,225000,234900,248000,259900,259250,254655.5,259930,250000,250000,250000,247900,249900,249900,257500,270000,275000,273990,269900,275000,279900,279997.5,289900,289900,287250,299000,300000,318997.5,315000,300000,306300,314000,310000
50,Wichita,KS,Wichita,Sedgwick,51,126950,127000,129900,129900,129900,129950,129900,128750,125000,122000,119900,114900,113306,113000,116900,118900,119900,120000,122500,124000,120150,119900,114900,109900,109900,109900,107700,114000,115000,118950,118900,115900,113000,112000,119900,118700,118000,118900,122900,124900,124900,124900,123250,120000,120000,120000,120000,119900,124900,121950,127900,129900,135000,136900,134900,133900,132000,128950,125040,128500,129000,129900,134900,135000,139900,138900,135000,135000,134900,134900,132900,129900,134250,132000,135000,139900,139900,142900,144900,139900,141000,139900,139900,134900,139000,135000,137000,146750,152750,155000,154500,150000,149900
51,Tampa,FL,Tampa,Hillsborough,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195000,189500,199000,198000,189650,197200,205000,215000,214900,219000,219900,220000,244900,248600,249900,254900,249900,250000,254900,265000,270000,263000,260000,260000,250000,259900,259900,255000,249900,264900,275900,279900,279949.5,289900,286325,281175,275000,279900
52,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449950,450000,450000,450000,464900,463450,470000,475000,479390,480000,479000,474000,475000,459000,490000,492250,499900,499000,509000,512900,519000,515000,519900,525000,529950,525000,530000,539000,529900,540000,535000,535000,539000,545000,549000,548650,540000,539900,549000,559999,570000,570000,579000,579000,579000,584900,584500
53,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370000,379000,369950,349950,349950,360000,389950,390000,399000,399900,399000,390000,390000,369995,399900,407450,415000,410000,419450,423500,418000,419949.5,419000,419000,405000,419000,429734,440000,442500,445000,464900,461950,459000,459900,465000,470000,467502.5,475000,475000,489000,499900,514900,514900,499890,506995,499900,499990
54,Aurora,CO,Denver,Arapahoe,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,215900,224000,234900,232500,235000,235000,244444,240900,243000,249900,239950,235000,239000,249975,249900,255000,269900,278500,275000,275000,275000,278000,279900,275000,289900,305000,297953,299900,311750,299900,300000,305000,300000,305000,300000,299950,300000,294900,299900,310500,318500,320000,320000,324975,325000,334900
