index,RegionName,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
5563,Corrales,NM,Albuquerque,Sandoval,5564,495000,497450,469900,454500,461500,459000,482700,499450,532000,499900,492000,500000,498000,485900,517500,482000,492000,488750,459500,465000,449000,450000,449000,449000,449500,466950,469900,489000,506000,500000,499450,525000,499043.5,527250,529000,524950,534700,534700,524950,525000,519500,482000,489450,499000,515000,507500,479000,489000,489450,475000,469000,462000,459450,459900,450000,449000,465000,457500,475000,477450,450000,457500,448800,457500,452450,449000,431250,435000,424900,425000,449000,425000,400000,400000,448400,450000,462500,479450,485000,499999,495000,490000,499000,490000,518450,489500,494500,504500,504450,499900,500000,499500,499900
5564,East Moriches,NY,New York,Suffolk,5565,519990,519990,509000,499990,484992.5,479990,449000,449000,449000,442000,439000,429000,414500,429900,429000,396500,396500,397000,389000,385000,384000,397000,425000,430000,409500,449000,431500,419000,439000,469900,469900,469900,477900,469900,477900,476450,475000,478900,479945,484900,484900,485000,492900,488500,490700,488500,492900,496449.5,499999,485000,465000,489000,549990,499740,499900,500095,489000,549000,500050,527000,525000,525000,520000,549000,549000,550000,554495,549000,569990,569990,565000,559000,569990,554000,498000,499990,509495,519000,554000,559000,555000,559995,553250,584990,547000,545000,584990,545000,512000,516950,509900,504950,529000
5565,Lancaster,VA,,Lancaster,5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000,325000,299000,299900,297400,274500,257250,299900,327400,324900,289700,289700,253550,249750,245000,249500,264750,292450,317500,310000,317500,325000,297000,321950,321950,307000,325000,342000,325000,335000,335000,332000,338500,329000,344000,322000,299000,346000,348000,347000,339000,329000,330225,327900,320000,299500,285000
5566,Hightstown,NJ,Trenton,Mercer,5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220995,219990,212500,215000,212450,220000,220000,222000,234850,219500,219000,224900,224900,219000,210000,210000,193500,214500,225000,219900,219900,222400,219000,224900,239000,219900,215400,199900,199900,199900,199900,198800,222400,209000,209450,209950,207900,225000,219375,214900,199999,202500,219900,224450,230000,222500,207450,199990,199990,231950,209900,202499.5,209900,229900,212000,219000,230000,239900
5567,Inwood,WV,Hagerstown,Berkeley,5568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136495,154500,149900,149900,149900,154500,159250,159800,159500,153900,155900,155900,155900,155450,155900,159900,158000,154900,149900,149900,149900,159500,162900,162000,164900,169900,169900,169900,169900,166950,169450,169000,179900,179900,184000,184900,189900,199900,199900,199900,195000,192000
5568,Glassport,PA,Pittsburgh,Allegheny,5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,54900,53950,54400,54400,53000,53200,54700,54400,53400,59900,59900,59900,59900,60000
5569,Town of Norfolk,NY,Ogdensburg,Saint Lawrence,5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94900,109450,99900,94400,107500,108700,109900,99900,92000,92950,90750,101950,99900,96900,91900,92400,98200,98200
5570,Evart,MI,,Osceola,5571,117900,99900,102400,99900,109950,114900,119900,111000,109250,109950,104450,109500,97450,97500,95975,99900,112000,118450,109900,99800,97450,97450,87500,86700,85500,89000,99700,95000,96225,89900,94950,89900,84200,86010,84900,79900,84450,81950,86750,84450,84900,89900,89900,89900,89950,89900,89900,82500,79900,89500,79000,84900,79900,89900,89900,89900,89900,89450,89000,88500,88500,89450,84950,87450,84950,84000,84450,88950,89900,89900,87350,79900,82000,76000,79900,84500,89900,95000,94900,99450,104900,104900,104900,104900,99450,102400,104900,108662.5,112000,116950,117000,114900,106900
5571,Chesapeake,OH,Huntington,Lawrence,5572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156450,147450,154900,153000,152000,150000,149900,150000,150000,149900,138000,132500,120000,127450,147450,142500,144900,149900,149900,152000,157250,159000,154500,142449.5,146999.5,142449.5,139900,153900,152450,155000,149900,149900
5572,Waldoboro,ME,,Lincoln,5572,198900,207500,207500,192000,195000,198000,189761,195000,195000,187522,169450,163500,159000,158500,158750,159900,159450,163500,159900,159900,151950,169900,171950,169900,169900,174500,175000,175000,174750,169900,169900,169000,169000,148450,159000,148450,165000,164000,167000,159000,164999,169450,169450,179000,169900,169000,159500,150000,153750,150000,159000,169000,166950,171950,169000,162000,162000,160000,155000,160000,164900,169000,162450,179500,174900,184500,179900,184500,179900,187000,187000,187000,189000,194000,189000,199000,181750,179450,167000,179450,179000,174000,159000,149900,149900,149450,149900,174499.5,185750,179000,179000,179000,179000
5573,Milliken,CO,Greeley,Weld,5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900,191800,191800,193900,193900,199700,208800,209400,206500,199900,195500,199900,199800,211610,217300,225000,228950,237900,231900,235950,236880,236830,245400,244900,238700,235400,239000,248400,251200,256400,257480,257480,259500,265000,264850,258500,259900,265000,266950,270000,276300,278200,275000,277250,272300,275000,281300,286200,299000,299947.5,298750,297965,299750
5574,Jim Thorpe,PA,Allentown,Carbon,5575,164900,167400,162000,154900,154900,155400,155400,148500,156000,144450,149900,149900,136750,144900,149125,149575,149000,139900,139450,144177,139500,144177,139000,134950,119450,119000,129000,139900,139450,141000,144900,139900,144500,144500,151950,151950,147450,156500,139900,139900,138450,135900,129900,127000,127000,125000,136900,124950,129900,129900,125000,125000,125000,121950,129800,129000,119900,127350,134900,126850,122000,120000,117500,124900,139500,144000,143000,139900,134950,132500,139000,124900,122450,122450,124900,134450,129000,129000,132450,124500,125000,119900,121950,124500,124000,109950,119950,119950,114450,124900,125000,128900,128900
5575,Jerseyville,IL,St. Louis,Jersey,5576,,,,,,,,,,,,,,,,,,,,,,,,,,,,80750,80750,79900,75950,79500,79900,86900,77920,76000,84500,91700,89900,89900,96000,89900,89900,89450,89900,87250,84500,93450,94450,94400,87200,89900,94900,98450,99900,94750,90700,91000,87400,89500,93000,95000,95000,88000,89900,93250,92500,93000,88500,93750,97000,98900,97950,97000,99000,99900,99700,106250,109700,91000,92000,89950,89900,91450,98500,99225,98000,103750,105000,93250,94500,96250,89900
5576,Spencer,IA,Spencer,Clay,5577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,126000,125000,122900,118950,129900,124900,129500,134450,129900,129700,141900,148000,151000,139900,138500,147900,142000,149250,147900,148700,153450,150000,152900,153900,165000,159500,163500,155950
5577,Brookhaven,WV,Morgantown,Monongalia,5578,216250,224000,222500,219000,224000,226000,242200,239750,242200,245000,245000,239900,239900,234950,234950,236250,232500,231250,231249.5,224999.5,216000,199700,205000,234999.5,216000,210175,205000,189900,199700,205000,199900,217500,199500,197400,214900,205000,229000,239450,238250,239700,238900,239000,238900,229900,229900,225950,227000,215277,249900,261950,246449.5,247400,249900,252999,251499.5,239900,242000,242000,249900,247250,247500,286000,290950,289450,282750,259500,250000,259500,269900,249900,259000,279750,289000,239500,249950,249900,259949.5,265000,259900,249000,252377,249900,249900,249450,249000,254927,259900,259900,269950,252250,252250,239999,239850
5578,Crestline,OH,Bucyrus,Crawford,5579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,57000,56000,59900,59650,65450,65450,65900,65900,65900,69200,71200,70750,61200,60250
5579,Buena,NJ,Atlantic City,Atlantic,5580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,145000,150000,152000,149500,145000,149500,149900,152000,149900,152000,156950,149900,149900,149900,158950,157899,152400,149900,145900,142400,139900,140000,139900,129890,139900,139900,139900,129900,129900,134900,129900,137400,149000,142400,134950,139950,129950,129900,122400,126700,125900,127450,137400,129900,134900,131900,147400,131900,150000,134900,144900,137450,132450,139500,128900,121900,128900
5580,Deep River,CT,Hartford,Middlesex,5581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257900,279000,299000,299900,299000,299000,299900,299900,294450,292400,274400,279000,278900,274900,279900,270100,264500,262450,265000,274500,277450,299000,299450,315000,299900,333000,329000,299450,289900,299500,289450,279900,284500,284500,279450,279000,275000,275000,272000,279900,269900,268900,266950,259450,253750,253750,242700,235000,225000,225000,238838.5,237900,269000,269450,267000,269000,269900,279450,279000,279000
5581,Dansville,NY,Rochester,Livingston,5582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,75400,82400,84400,79900,75000,79900,79900,79900,79900,79900,79900,79450,79900,89000,84900,89450,89900,84900
