index,RegionName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
398,"Albertville, AL",398,145000,145900,149000,140950,144900,141950,144950,149000,149700,149900,139900,139500,145900,139900,139900,139900,139900,143250,149900,149900,145900,144900,144900,144900,145900,143300,139900,139900,138750,134900,139250,134900,131225,132500,139900,139000,137900,139000,139900,139950,144900,143900,144900,147500,149900,149900,149900,154000,149900,149900,155000,159900,159500,159900,149900,149900,149900,149500,149900,149900,149000,144950,148850,150000,153900,154250,158850,159000,157350,159000,159000,154900,154700,149900,154900,155200,159700,152900,149900,149900,158775,159900,164900,159000,157875,162950,164900,165500,168700,169900,168900,169000,178450
399,"Manhattan, KS",399,172900,165450,169900,179700,188000,189000,179950,175000,169900,169900,168000,165000,167500,167500,167000,169900,179975,181125,179900,185500,175000,174900,183700,179000,176750,182500,182500,187000,189450,185000,187900,184950,179000,179900,183750,187500,189950,197500,195750,195000,188500,185000,179900,186450,174500,174500,190000,190500,204900,204900,206900,206450,204900,189925,189000,194250,189000,187900,189450,184900,194900,195000,195000,199250,199500,204900,199900,197500,199600,200000,200000,199800,205975,209900,214900,207250,214950,214900,212000,214900,209900,211900,215000,219700,214000,219900,225000,222000,220000,218000,218000,214000,215000
400,"Parkersburg, WV",400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,134900,130000,141950,140000,149500,146250,143500,146200,144950,144000,143900,137000,139000,139900,144450,143400,139900,139500,136000,129900,127000,119900,119500,119800,119900,123950,125000,125500,129900,134900,136500,135000,135250
401,"New Philadelphia, OH",401,99900,99900,99900,99900,104900,109900,109900,107449.5,111195,104990,106795,103495,103490,89700,99900,99900,99900,109450,104900,106795,108095,99900,94450,94900,94950,94400,97000,89900,89900,89900,89000,89900,84900,89900,104900,104900,109900,109900,109900,114900,119900,119900,119900,119900,120695,119900,118750,117400,119900,119900,119900,124900,123900,127170,129900,129900,125000,125000,119900,118500,125000,124825,127170,125000,124900,123400,119900,124900,119900,129900,129900,129900,131900,129900,128900,129900,129900,129900,129900,129900,129900,134900,130250,133285,134354,124900,119900,129500,129900,129900,124950,128250,124900
402,"Orangeburg, SC",402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132000,129900,135000,135000,135000,135450,135900,135900,135000,130000,130000,134900,130000,131750,131000,132500,134900,134500,131000,135000,134900,132000,133250,129900,129900,129700,129900,129900,135000,139900,142900,141000,147775,149000,149950,150000,149900,151000,149900,148000,148250,149900,140100,139000,139700,139900,138900,138900,134950,138500,136700,138900,139000,137500,139900,135900,129900
403,"Cheyenne, WY",403,209900,202900,201000,197000,196000,190000,194500,192900,189900,189000,177000,178500,179000,175000,179900,189900,189950,189900,189900,190000,190000,190000,187700,179900,187450,189000,186400,189000,184900,185000,191000,199900,194900,189900,191000,195000,198000,195000,195900,195000,195000,195000,199900,202750,204900,200000,199900,199900,198000,204995,209900,215000,215000,220000,215000,219900,222000,212900,215000,215000,221000,215000,219000,219900,225000,229900,232950,229950,225000,225000,219900,224900,215500,219900,235000,240000,247900,250000,250000,249900,254900,249900,245014,249950,250000,258550,264000,265000,259900,265000,265000,265000,265000
404,"New Castle, PA",404,89900,94900,89900,89900,89950,89900,90450,89900,88250,89900,85000,83900,81005,82500,82500,85000,89900,85000,89000,89000,84900,79600,79950,75500,79900,85000,82500,75000,79900,79900,84900,79900,83000,79700,94000,89900,89900,89900,89900,89900,89900,89900,89450,85900,89900,84900,84900,84900,84900,79900,84900,85000,85000,87950,89900,86500,86000,86500,85900,87050,88000,85750,89900,89900,92900,91500,89900,89900,85950,79900,79900,79900,77350,79900,79900,79900,83200,80000,84900,82000,79900,77500,74900,76900,74900,75000,79900,76900,79900,79900,79900,79900,79900
405,"Brainerd, MN",405,229900,224900,220000,224950,229900,229800,229900,221250,219950,209000,199000,179900,175000,179900,179900,177900,184000,169900,170000,179000,183500,179900,169900,159450,159900,162245,169900,184900,167000,169900,169900,165000,169000,171900,174900,169900,172000,184900,185000,189900,194900,189900,189900,189900,199000,194900,194000,194900,189900,194500,189900,199900,199900,219900,205000,207000,209900,207000,209000,200000,199900,200000,210000,209900,199900,209900,208500,209450,210625,211250,218750,205900,205900,219900,229000,229900,229900,230000,229900,229000,229000,229900,229000,219000,217900,224900,229900,240000,244900,249900,249900,249900,245000
406,"Kalispell, MT",406,299500,295000,279250,285000,289000,290000,289000,289000,285000,264500,253750,269000,269000,269000,269900,259000,265000,269500,269000,269000,269000,259900,249999,249000,239900,234725,239900,250000,249900,250000,250000,255000,259900,265000,289000,319000,324900,304500,309500,315000,320000,320000,328266.5,334900,334950,349000,329000,329900,329900,325000,319000,324900,327000,329450,335000,345000,339999.5,345000,347000,339000,339500,325000,320000,340500,349900,349900,369500,374450,371500,374900,378500,379000,378000,378000,358250,365000,374950,374950,369000,365000,369000,375000,375000,384000,395000,398000,385000,385000,386750,389000,399000,399000,398250
407,"Seymour, TN",407,219000,213250,209900,207500,199900,199900,199900,199900,209900,209900,215000,214900,209700,199000,205900,199900,199900,199900,199900,199450,199000,194500,189900,185000,185000,185000,185000,184950,180000,180000,179900,179900,184900,180000,189000,185000,185000,188200,185000,189300,189000,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,189900,192500,194900,198900,199500,199900,199900,200000,209400,207500,210000,214900,215000,214900,219700,215000,215900,215000,214900,219900,219000,219900,224900,229900,234000,234900,234900,232500,234900
408,"Ames, IA",408,145000,149000,148500,149000,149900,148900,148950,149450,147000,147000,144900,144900,139900,140000,146500,149900,150000,150000,149900,150450,154900,149500,147500,137900,136750,139900,139900,139900,135000,137900,137900,132900,133200,132000,133000,135000,139800,146450,153000,159900,164000,164900,162000,162250,159000,164900,159000,156000,160000,164900,162000,168900,169999,177900,175900,176750,169850,179000,176950,169850,169900,179950,184900,191200,181000,183900,184700,189900,188000,186500,188500,189900,199900,200000,220000,204900,212500,214900,214900,224850,228925,229825,229950,229000,230000,237000,230800,246000,248000,243900,239900,235000,235650
409,"Bozeman, MT",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394950,354950,365000,339900,349000,347000,350000,349900,350000,365000,374950,372800,350000,348500,350000,349000,359000,359000,359000,359900,369900,369950,375000,379825,374900,364000,374950,375000,379000,387500,396000,399900,405000,429900,425000,419000,400000,400000,405000,405000,414900,419000,415000
410,"Moses Lake, WA",410,181450,180950,185000,179700,169500,169950,171135,175000,176777.5,166000,165000,159700,152900,159500,164760,165140,170000,175000,168000,169950,170000,165605,166192.5,159000,159990,159900,150000,159945,164900,169196,166500,167555,169900,170700,169000,167000,163990,165950,168500,168500,165950,167000,165000,157500,157900,159450,150000,158950,159900,148700,154900,158000,161745,159990,160000,160000,162000,165000,159900,164000,157000,159950,159950,165000,165000,168500,175000,169500,169900,169000,178950,169000,168236,174350,179000,176000,182125,179900,180000,180000,178975,169900,167500,169000,165000,169950,175000,185000,189900,199825,199000,199000,199000
411,"White Township, PA",411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000,119900,119900,119700,115400,115400,114900,105000,105000,114900,124500,127900,134950,139900,144000,137400,129900,129500,124900,132900,129900,131900,139250,139500,139900,136900,129900,125000,125000,121900,119450,123250,119900,122200,129900,129999,138500,129900,129000,124900,115950,119000,118500,119950,125000,125000,125900,126400,127000,119900,114900,114900,109900,114500,114900,119000,118500,119900,124900,120500,122900,119950,119900
