index,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
1083,Nelson,KY,Bardstown,21,179,1084,124900,124900,138400,139500,138400,136700,139000,138200,134900,132400,135000,129900,129900,129990,129990,139900,136500,136700,129900,129900,134900,124900,124900,119900,121450,119900,121900,121450,134900,134900,134900,134900,134900,127900,129950,129900,129900,129900,130000,136900,135450,139700,135450,135000,139500,132900,134900,134900,129900,129900,129900,138500,143000,142950,144795,145250,148900,145300,149900,149900,142750,144945,144900,146000,145000,145000,145000,146000,143200,144500,139900,144900,142900,145000,148900,149900,149249.5,159000,159900,160000,169000,172500,169900,173200,169995,168500,170000,175900,171499,179900,182400,184900,186500
1084,Madison,OH,Columbus,39,97,1085,139900,144077.5,139900,132077.5,123750,128200,129900,134950,134900,129900,129900,134900,118000,119700,131900,139900,144900,154900,144900,140000,139900,139900,129900,119900,115000,119900,129950,128900,132000,134900,129900,134900,129900,129900,139900,135900,139900,139900,149900,147000,159900,159450,159900,156450,149900,146400,149900,149500,140900,139900,134900,142950,144900,151900,149900,157900,155900,159900,159900,167500,167900,169900,167900,166900,169900,167395,169900,166900,164950,169900,170000,169950,173449.5,167900,169900,169000,179900,179900,169250,169900,165000,165000,157450,148650,159450,155950,156900,159900,171400,182500,182500,182497.5,199900
1085,Susquehanna,PA,,42,115,1086,158450,158900,160450,163500,162750,189900,196000,164500,176950,189000,176950,164700,164500,154950,154900,154900,159900,159900,154900,153000,140000,140000,140000,135000,145000,161000,160500,168500,174950,164900,169500,169500,159950,159900,159900,149000,148000,149000,153700,149900,163400,159900,164900,165500,169000,168750,164900,175000,160000,160000,150000,155000,175000,175000,175900,169900,164800,161500,169000,159950,161000,169900,175000,174900,169995,169947.5,169900,169000,165000,161000,159450,154000,152000,148800,148900,154500,164999,159500,159999.5,159900,159900,159900,159950,155000,152450,160000,159000,159949.5,169900,173325,173250,169900,169900
1086,Waller,TX,Houston,48,473,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311990,325990,314490,309995,313990,315000,316000,317423,329900,292990,288900,295995,290000,299925,299900,284912.5,286990,292990,287158.5,279900,287990,310990,300990,299949.5,319546,325495,348999,339518,330000
1087,Sanilac,MI,,26,151,1088,109500,104900,99900,99900,117000,109900,109700,101900,99900,92950,89900,84950,79900,75500,82500,89900,90500,98950,94950,99000,94400,79900,69900,69900,68500,64900,69900,79900,79900,87450,89900,89900,89500,89000,94400,89900,85000,89900,89900,89900,104000,109450,109350,109900,109900,110750,105900,99900,95500,97750,99250,111500,119900,119900,119947.5,119500,112000,107000,99900,99554,89900,99608,99554,109000,109900,114900,114900,114900,114900,111000,111499,109050,99900,100950,99625,97900,106900,119200,115950,116900,116900,116000,106450,99900,95546.5,98000,101400,114900,119900,119900,124450,125900,124900
1088,Danville City,VA,Danville,51,590,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75900,74450,79900,79900,83500,83625,84900,84900,84900,88500,89900,89900,88750,85000,89900,92000,79900,79900,89900
1089,Habersham,GA,Cornelia,13,137,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149900,149500,148500,145000,148500,149900,154900,159900,159900,159900,159900,159900,157900,159500,159900,169900,169450,171900,179000,189450,189000,179950,179500,183000,179000,179500,180000,175000,169900,169000,166250,167500,176200,174900,179900,186500,189000,179700,174900,179000,180700,189900,199949.5,199900,198250,189900,219000,206750,225000,213000,209700,210000,219350,219900,221250,219900,228000
1090,Wilson,TX,San Antonio,48,493,1091,199900,194900,187950,188250,190000,198250,197000,199000,199000,199450,199450,199900,197590,209000,211500,214900,231400,231400,225000,229900,234950,244000,239000,239500,234750,239000,245460,231450,242000,234900,234900,236950,240000,233900,247950,252000,254950,257000,254900,264000,264950,259900,275000,272900,269000,272900,273500,283500,276000,278950,276000,284500,289900,286750,299000,299900,299950,299000,299362.5,299000,298000,297725,299900,300000,299900,299900,299250,299900,299900,301949.5,305000,307900,304900,309950,309400,307000,314900,299900,300000,307000,304950,304000,299000,295000,302500,318500,315000,319900,319900,328099.5,330000,325000,323450
1091,Orleans,NY,Rochester,36,73,1092,79200,89900,89900,94900,94900,94900,94900,94900,94900,86750,84900,84450,84900,89500,92500,96700,98950,97700,95000,91200,89900,89900,89450,85750,86500,84950,85900,89900,94900,89900,91700,89900,94900,94900,94900,89700,82400,84900,84900,89900,89900,89900,86000,87450,86900,96200,94900,89200,86900,89900,87950,89900,95000,95000,104950,105000,99900,99900,96950,85500,79900,89450,91950,93750,94000,107987,99900,99900,89900,89900,88200,83500,80000,77900,79900,83700,88900,94900,93500,89900,93900,92900,82500,79900,79200,79000,83950,82500,96950,99999,102124.5,99900,99900
1092,Mecosta,MI,Big Rapids,26,107,1093,119700,119500,120000,129000,125000,125000,125000,129000,124900,124900,123900,119900,119000,119900,119900,121500,124900,124900,122450,120000,119900,118950,119000,114900,114700,118900,119900,119900,120000,119900,122000,122900,124900,120000,121000,119900,121850,129900,129900,129900,129900,129900,129900,124900,124900,126900,125000,125910,121000,122900,123400,129900,134900,129900,129900,129860.5,127500,124500,115000,110900,114950,119000,119900,119900,124900,120950,120950,120950,119950,119975,125900,119900,116450,117000,129900,135000,139900,134900,134900,130000,128900,128450,124900,121900,120000,124900,127022,130000,139950,142000,144900,139900,139900
