index,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09
0,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,6,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,464500,449500,455000,459999,480000,495000,499000,499900,499000,499900,499000,489900,468000,475000,499000,509000,529000,550000,558000,559000,559000,559000,559000,550000,550000,550000,565000,575000,585000,589500,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629900,625000,629000,629000,627777
1,Cook,IL,Chicago,17,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223950,229900,232000,230000,229000,225000,219900,210000,199000,190000,205000,224900,228808,233900,234999.5,230000,229900,225900,225000,220000,215000,215000,225000,239900,249788.5,250000,250000,249000,242000,244500,239900,235000,229000,229885,245000,257900,264900,269000,269998,269900,264900,264000
2,Harris,TX,Houston,48,201,3,139900,143900,145000,145000,144900,144000,140000,142900,153000,151900,153900,149900,149500,149900,149999,149990,151497.5,150000,149900,149800,144925,144900,139900,139999,140000,140000,144900,146500,147722,148990,148500,149000,146900,146900,159000,159990,159990,169457.5,173345,176000,179000,179900,179900,180000,184094.5,189900,185000,186990,188950,196594,199900,209999,214900,214783.5,215000,219900,220990,223990,229000,235073,246800,255000,261157.5,269900,259950,250000,268734,269900,271640,274990,274900,279900,282787,269990,276990,275000,275000,278925,275000,274900,269900,268000,265000,260400,260000,265000,269900,274990,275000,274900,269900,269900,274900
3,Maricopa,AZ,Phoenix,4,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,238750,235000,239000,244900,248000,249900,250000,249000,249500,249900,250000,248900,244000,250000,259900,265000,273545.5,275000,274999,268990,275000,275000,277328,279900,279900,280612,284900,285000,288250,289000,289888,287777,284900,284900,284743,284900,285000,285000,289900,291990,297000,299000,295000,295000,292000,294997
4,San Diego,CA,San Diego,6,73,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,450000,458900,465000,475000,489000,459000,482540,499000,495000,489900,485000,485000,475000,479500,490000,522050,534950,549000,525000,555000,550000,559000,559900,564900,575000,569000,569000,569900,575000,579000,579000,585000,579000,579000,575000,573950,574900,579500,589000,595000,615000,625000,624900,625000,624000,619000
5,Orange,CA,Los Angeles-Long Beach-Anaheim,6,59,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599800,595000,599000,605000,624900,625000,634900,633317.5,635000,644900,637450,629900,615000,628888,645000,658025,668797.5,685000,690000,685000,684365,688000,689000,679900,689000,680000,689900,698000,699889,700000,709000,709000,705046,704445,715000,710000,714700,719000,729000,748900,750000,759000,749900,750000,750000,765000
6,Kings,NY,New York,36,47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,499000,509500,499000,519000,525000,529000,535000,549000,549000,549000,595000,599000,599000,649000,639000,650000,655000,699000,699999,699000,699000,725000,729000,709000,719000,764000,780000,768500,799000,788000,789450,779000,790000,799000,825000,801000,825000,810000,827835,838000,837500,835000,830000,827085,800500,805000
7,Miami-Dade,FL,Miami-Fort Lauderdale,12,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,269900,269000,269900,265000,270000,270000,270000,269500,274800,280000,280000,298000,299900,297000,309000,315000,310000,290000,295000,318000,320000,329000,330000,350000,359000,359900,360000,351495,369000,370000,369900,372000,370000,375000,375000,375000,377000,376825,379900,379900,380000,384990,388000,389000,384900,388000
8,Dallas,TX,Dallas-Fort Worth,48,113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,179075,179900,174900,175000,185000,192500,200000,192525,192000,209000,198000,194500,188000,195000,198000,219900,225000,230555,235000,235000,225000,225000,235000,239000,239900,239500,235990,239777,260000,269900,278000,277000,274900,270000,274900,279000,275000,275000,275000,289000,295000,310000,319000,315000,309500,299900,299900
9,Queens,NY,New York,36,81,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,305000,319000,299900,319000,325000,325555,335000,339000,348000,349000,349000,349000,349000,345000,359000,365000,365000,369990,375000,379000,379000,379000,389000,389000,390000,399000,399999,399000,410000,425000,429000,435000,438000,449000,440000,440000,459000,473500,475000,475000,479999,488000,488400,489000,489000,489000,485000,489000,491175,499000,499990,519000,539994.5,549000,549999,550000,558000
10,Riverside,CA,Riverside,6,65,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000,320000,320000,324900,325000,329900,330000,330690,329900,329972,329000,327800,325000,325000,329900,337500,339000,339900,345900,349000,347500,345000,349000,349900,350000,350000,354800,356990,359000,359998,364900,365000,368250,364900,360000,364900,365000,369000,369900,371740,375000,375000,379000,379900,380000,380000,384998
11,San Bernardino,CA,Riverside,6,71,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000,232000,230000,235000,244900,249850,250000,259000,259900,259900,259900,259000,255000,249969,260000,260000,267500,269000,274900,279900,279900,279900,280000,284900,284900,284900,285000,285000,289000,289900,298000,299900,300000,299900,299500,299000,299000,299000,295945,299900,304999,310000,315000,310000,315000,315000,319794
12,Clark,NV,Las Vegas,32,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000,180000,179970,175900,179000,180000,185000,189900,191000,191000,199990,204000,204500,199900,199900,200000,209900,213300,215000,220000,220940,224900,225000,225888,225290,228900,229000,227500,224900,229900,234610,238888,240000,243000,245000,249000,249888,249900,249989,253900,259000,260000,265000,269900,274992.5,279000,279900,284000
13,King,WA,Seattle,53,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388919,379900,370000,377000,389000,399900,399950,420000,424950,419900,419000,400000,388250,350000,371900,399900,419000,439000,449000,450000,449950,450000,450000,450000,450000,449950,449500,450000,474900,489000,499950,500000,499950,495000,499900,499950,499950,495000,498000,504997.5,535000,549000,565000,575000,572000,550000,559950
14,Wayne,MI,Detroit,26,163,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63900,65000,68450,69900,72500,70000,69900,67900,64900,59990,59900,59900,61000,67950,74900,79900,82000,83000,79900,79900,79000,74900,72900,74900,80000,87900,99900,109900,109000,109000,108000
15,Tarrant,TX,Dallas-Fort Worth,48,439,16,144500,144900,145000,146900,145090,145000,144500,144900,155000,149900,142000,138490,135000,134900,139990,144900,147500,149900,147990,145990,144900,144575,138345,134900,134900,136255,137000,138000,138995,140000,139900,135000,134900,139500,160000,161150,163548,167895,169900,173725,177900,179900,178320,176800,175820,175000,174900,175000,173843,179000,181143,188400,189900,185564,189000,192000,191900,192000,189900,196990,199900,202120,215000,216990,210000,209900,209000,208000,209000,209900,209990,210000,214630,210000,219900,225000,229000,230000,231000,230000,230000,235000,234994.5,231445,234900,239900,248900,249900,250695,255000,252100,249900,250000
16,Santa Clara,CA,San Jose,6,85,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,675000,675000,699900,725000,739000,749000,749000,747000,729999.5,738000,729000,699888,695000,715000,769919,799000,829000,849000,850000,849888,840000,845000,848888,832450,828888,838076,870000,899950,900000,901930,899999,899000,898000,899000,898000,875000,850000,849000,888000,923500,929944,958000,949000,950000,987600,995000
17,Broward,FL,Miami-Fort Lauderdale,12,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,219900,215000,214900,215000,209890,209900,219000,214900,210000,213900,214900,209500,205900,209999,220000,230000,225000,224900,229900,245000,249000,252950,250550,249900,249900,249000,247500,245000,260000,265000,269900,275000,276666,279925,279950,280000,278000,274990,279000,280000,288000,295000,298000,299000,295000,298900
18,Bexar,TX,San Antonio,48,29,19,145000,148900,149074.5,149900,149900,151900,149999,149900,157500,155900,149900,149000,149500,149900,151200,154900,158900,159900,157990,154900,149000,147900,142900,139799.5,140404,140000,143500,144900,145000,149900,149000,149500,148900,150000,166995,167530,169750,175000,179000,180102.5,184275,187990,187010,189000,190000,195587,193000,198000,198000,204995,209030.5,211000,219900,213990,211947.5,219682,214975,210000,214495,220000,223992.5,229515,225300,236945,235990,240990,246990,247000,249900,243990,244925,247900,249000,235000,239900,240000,239500,240000,242438,240000,237000,242999,240000,235000,239195,244900,250000,257500,258990,260000,259900,257995,259900
19,New York,NY,New York,36,61,20,,,,,,,,,,,,,,,,,,,,,,,,,,,957500,975000,995000,995000,960000,949000,977000,990000,1100000,1125000,1100000,1100000,1197500,1200000,1200000,1250000,1240000,1290000,1285000,1325000,1395000,1398000,1450000,1425000,1425000,1449500,1508500,1500000,1595000,1575000,1635000,1700000,1726000,1795000,1825000,1850000,1850000,1895000,1950000,1922500,1916250,1975000,2100000,2120000,2199000,2250000,2450000,2350000,2195000,2250000,2125000,2100000,2085000,2095000,2075000,2100000,2100000,2100000,2095000,2120000,2100000,2100000,2050000,2020000,2000000,1995000,1975000
20,Philadelphia,PA,Philadelphia,42,101,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000,139900,139000,139900,149900,159000,159000,159000,150000,149000,149000,149000,143900,130000,135000,140000,149900,159900,160000,159900,154900,149999,149900,150000,149990,144900,139900,140000,149900,156950,159900,159949.5,159000,152000,154900,159900,154900,149900,152000,154900,167900,179000,184900,182900,184900,179900,189000
21,Alameda,CA,San Francisco,6,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499888,509975,513000,529000,544950,569000,589000,598000,589000,579950,569900,575000,538500,525000,538000,598000,619000,625000,649888,650000,650000,649000,649000,649950,649000,649000,639999,649946,689000,699999,714900,700000,700000,699000,699000,699000,699000,688000,699000,719919,745000,749000,768500,750000,749950,750000,753000
22,Middlesex,MA,Boston,25,17,23,309900,334900,339900,342900,339900,340000,339000,334900,339900,340000,339000,325000,324900,329900,339000,349900,359900,359900,349900,347700,349000,339900,320000,299900,309000,319900,337500,349900,354900,349900,339900,329900,335000,339000,369900,364900,360000,374700,389000,399000,399900,409900,400000,389900,399900,399900,399900,389900,389900,404995,419000,429900,439900,439000,429000,419900,429900,434900,429997.5,424950,429000,429900,449900,459900,469900,469900,459900,449000,450000,454000,450000,449000,459000,475000,489900,499900,499900,499900,499000,489783,499500,499900,499900,499999.5,499900,524900,549900,550000,551450,559000,549900,539900,549000
23,Suffolk,NY,New York,36,103,24,379990,379000,379990,379990,394990,385999,379000,369990,369990,350000,349000,339000,329000,324900,330000,338938,339900,339990,349000,345000,345000,349000,345000,339000,349000,349000,349000,349500,349000,339888,339000,330000,329000,335990,388888,380000,379900,388250,394994.5,394900,399000,399000,399500,399900,412000,414000,419000,419000,425000,389000,419000,424690,429000,429990,430000,437000,439900,449900,429000,449994,438888,439000,429999,429000,438500,439000,439000,439000,439000,439000,439000,439000,439990,439000,439999,448000,449000,449675,455000,450000,464900,465000,469900,469000,464945,479000,479000,485000,489000,499000,490373,489990,499000
24,Sacramento,CA,Sacramento,6,67,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297000,299000,299950,310000,310000,309954,309000,309000,314300,314500,312000,317945,315000,319925,325000,329900,329900,330000,330000,329000,328322,325000,323000,320000,324900,335000,348900,345000,344957.5,346700,349000,349500
25,Bronx,NY,New York,36,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000,319000,349900,369000,369000,359000,300000,307500,329000,334990,349000,328000,329000,349000,329000,349999,354900,335000,350000,379000,379000,375000,359000,339999,324900,329000,328000,325000,325000,319000,344000,349000,349000,367500,370299,353500,349900,369000,375000,359000,327900,319000,315000,319250,324950,329000,325000
26,Nassau,NY,New York,36,59,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,389000,379000,369990,360000,420000,419000,419000,429000,429000,440000,449000,449000,449000,445900,449000,439900,449000,445000,440000,449000,449000,459000,469999,478000,475000,469000,469000,468000,459000,465000,469994.5,469999,475000,479000,489000,499000,499222,499000,499000,499000,499000,498000,498000,499000,500000,525000,529000,539000,545000,539000,539000,540000,545000,539000,529000,529000,539000,549914,575000,579000,574999,569000,569000
27,Palm Beach,FL,Miami-Fort Lauderdale,12,99,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264900,267525,269000,275000,274500,275000,275000,279900,279000,279000,275000,275000,277000,277500,279000,280495,289000,279900,275900,280000,285900,289000,290000,294900,299000,299000,299888,300000,303000,312500,315000,319000,315000,315000,320000,325000,324900,320000,323000,325000,329500,338990,339000,339000,340120,339500,346581.5
28,Cuyahoga,OH,Cleveland,39,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,99900,99900,102900,109900,114000,116000,119000,117000,115000,110000,109900,106000,99900,103500,109500,112000,115000,117900,119000,115000,114900,113000,110000,109900,107975,105000,109900,117400,119900,124900,125000,124900,122900,120500,119900,118000,114900,114900,116000,124900,128500,134900,135000,136467,135000,135000
29,Hillsborough,FL,Tampa,12,57,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189990,189000,187000,192000,194900,199000,194300,179900,200000,200000,203615,202400,202790,197999.5,204900,214500,214940,210470,214645,215000,216990,228486,229900,233990,235000,233500,234900,229900,234900,239000,232690,233240,233680,229500,229000,229900,229900,228500,234900,239900,242000,249000,250950,250000,250000,249900,255000
30,Allegheny,PA,Pittsburgh,42,3,31,105000,119900,122793.5,124900,125000,124900,124900,122725,125000,124900,123900,119900,119900,120500,124900,124900,125000,125000,125000,124900,126500,124900,124900,120000,119000,118900,119900,119900,125000,124900,117000,115000,114900,114500,132900,130000,134500,139000,140000,145000,149000,149000,149000,144900,144900,139900,137500,138900,139900,139900,144900,150000,157900,159000,154900,149900,149700,154899,147000,142800,147500,149900,150000,159900,163900,165000,162900,159000,157450,154900,150000,149900,149899,144900,149900,159900,164800,165000,162500,159900,159900,159000,154900,150000,150000,154900,164000,173000,179900,179900,179900,175000,175000
31,Oakland,MI,Detroit,26,125,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210000,205000,200000,205000,213950,219900,232700,242950,249000,244900,244500,239900,239000,225900,220000,230000,240000,246945,249900,249900,254900,249900,249900,249900,249900,249900,249900,249000,250000,259900,269994,279177.5,280000,279900,276950,275000,279000,282000,284060,279900,289000,289900,300000,309900,309500,305450,299900,299900
32,Franklin,OH,Columbus,39,49,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123900,127900,131125,133945,134900,133900,131900,132000,129900,129900,126900,128900,135000,139900,146900,150000,149999.5,149500,147000,145000,139994.5,136945,139900,144900,149900,154900,165000,165000,167400,165000,166575,162675,163400,157900,159000,162000,165000,174900,179900,179900,179900,176900,179000,175000,174900,169900,168000,172900,187500,197995,199900,200000,200000,199900,199638.5
33,Hennepin,MN,Minneapolis-St Paul,27,53,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,234900,229900,239900,249900,259900,269900,265000,269000,269900,269900,264000,259900,264900,269900,279900,285000,284900,289900,289900,297500,290000,289650,289900,290748,294900,299900,299900,300000,299900,299900,297500,289900,289900,299900,299900,301900,314900,320000,339900,335000,333949.5,334900,329900,329900,325000,324990
34,Orange,FL,Orlando,12,95,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,224500,224900,229900,230000,225000,218900,209990,229640,232300,232000,230000,229000,225000,229000,235000,235000,230000,235990,240000,243990,259900,259900,259900,264427.5,261990,269000,260000,269900,275762.5,265990,265000,269990,267000,272500,269000,265000,269900,284500,288800,293990,299500,300990,302990,304900,304900,310000
35,Fairfax,VA,Washington,51,59,36,385000,399000,410000,425000,424900,425000,425000,417450,415000,409000,399900,389980,379000,390000,407375,428900,445000,445000,435000,426000,415000,399900,379900,359900,365000,385000,409900,439888,459000,455400,444999.5,430000,429996,435000,499000,495000,499950,499999,524694,529900,540000,538375,525000,510000,500000,495000,495000,484900,499000,499000,512444,525000,535000,534950,526870,525000,522950,518749.5,514900,500000,500000,514900,525000,539000,539000,530000,499000,524900,524700,518500,510000,509900,519999,529900,549500,560000,562250,549969,545000,539900,539900,549215,550000,549999,550000,569945,589000,585000,589900,585000,579900,575000,570000
36,Contra Costa,CA,San Francisco,6,13,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,439999,429500,449900,475000,499000,509900,509000,510000,499000,489950,489000,459800,439000,449900,476900,512000,530000,569000,569000,549950,538888,525000,525000,510000,499000,499999,535000,565000,588000,589000,594400,575000,555000,559000,560000,549900,539900,539000,555000,595000,599900,619225,599888,599000,588000,580000
37,Salt Lake,UT,Salt Lake City,49,35,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259900,259900,264900,261000,255468.5,255000,259000,269000,274615,275000,275000,274900,275000,274900,265000,265925,275000,280600,289000,299900,300000,309900,314900,317950,314997.5,314900,310000,309900,310705.5,309900,319900,324500,334900,339000,339000,334974.5,327950,326000,328000,329900,325015,335000,340000,350000,350000,350000,349900,350000,350000
38,Travis,TX,Austin,48,453,39,229900,229000,229000,229900,239000,239000,237500,239900,239900,237500,238712,230000,225000,225000,229900,239000,239900,229999,229900,224900,214900,209900,207000,199075.5,199500,200000,215000,222900,224900,225000,224900,219500,218000,214900,250000,258500,260000,270000,275000,285505,298700,295000,295000,291000,290600,300000,309000,308800,315778,324945,332500,349000,349990,359000,349443,348262.5,349000,348995,340000,350000,349000,350000,360000,373999.5,375000,379000,366990,371900,368990,374900,368990,378990,375900,379000,380000,383000,380000,394000,390114.5,384900,385000,385180,385642,376990,374900,379900,389999,399000,399900,397945,395000,389900,385000
39,Saint Louis,MO,St. Louis,29,189,40,142500,149000,149000,149000,145000,145000,144900,146900,154900,150000,149500,139900,134900,134900,139000,139900,145000,145500,140000,137521,135000,130000,124900,119000,125000,119900,123974.5,129900,134900,135000,130000,129900,129900,129900,145000,139900,137500,144900,150000,159000,159999.5,164900,155000,150000,149900,149500,139900,139000,134900,139900,147500,154900,162950,162000,159900,159000,155000,150000,144900,139000,139000,147900,156900,162950,165000,169900,170000,164900,160950,162000,159500,150000,149500,149900,165000,189700,191700,189000,185000,180000,175000,174900,170000,164404,158000,164900,179900,199500,209900,219450,219000,209900,207950
40,Pima,AZ,Tucson,4,19,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,189900,189000,189000,189900,192900,195000,195000,195000,195000,196950,196293.5,191448,191000,192000,199000,199900,197950,199900,199500,194900,195985,197000,196950,195000,193385,195000,195000,199000,199800,200000,200000,200000,199967.5,200000,205000,209000,209000,210000,215000,217500,219000,220000,219000,219900,225000,225000
41,Montgomery,MD,Washington,24,31,42,335000,339999,349990,361000,359000,350000,339970,329000,329900,339950,345500,329000,324900,329000,345000,360000,375000,375000,378000,379000,375000,375000,359925,349000,350000,365000,384900,394450,414900,409900,399900,399000,389995,398000,419900,399900,399435,408750,420000,439900,445392.5,449900,439500,429900,439000,429000,419000,415000,400000,415000,430000,449000,459000,450000,449250,434667,436000,433000,424900,415000,405000,415000,424900,428000,435000,439990,419900,429000,430000,429900,427990,425000,424900,424800,439900,469900,469970,475000,459900,459900,464990,465000,474900,465000,465000,479000,499000,515000,514950,500000,499999.5,499000,499900
42,Honolulu,HI,Urban Honolulu,15,3,43,479000,474000,450000,450000,459000,459900,460000,499000,475000,449000,409000,398000,399000,373000,398950,404850,425000,425000,439000,455000,450000,449900,430900,430000,433900,429900,439000,445000,438631,415000,410000,410000,399900,398000,449950,450000,459000,474450,460000,470000,475000,455000,490000,499000,499000,495000,499000,504000,499000,504950,500000,500000,510000,500000,505000,519750,519500,506680,520000,529000,545000,549831,546500,539400,550000,560000,565000,579000,577700,585000,588000,590000,590000,535000,590000,598000,599000,625000,628000,625000,630000,625000,629000,635000,630000,623000,625000,639444,640000,648000,632000,630000,630000
43,Westchester,NY,New York,36,119,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000,429000,449000,470000,489000,499000,499000,475000,439000,429900,449900,439000,418444,409000,419000,459000,499000,519000,506999.5,510000,499000,489000,485000,469200,450000,449999.5,474986,489000,540000,545000,546000,535000,511750,509000,519500,499999,489000,479000,499000,539000,550000,569000,574995,550000,529000,529450,525000,515000,495000,499000,540000,569000,599000,619000,624000,599900,579000,589700
44,Milwaukee,WI,Milwaukee,55,79,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,128725,121900,124900,129200,134900,139900,139900,139900,139900,139000,134900,129900,128900,125900,129900,134950,139900,145000,144900,144500,139900,139900,139899.5,135900,134900,130000,135900,139900,145000,149900,149900,149900,149900,149900,147200,143899,139900,139000,142000,146950,149900,154900,154900,152250,149900,149900
45,Fresno,CA,Fresno,6,19,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,230000,229900,235550,239000,239900,240000,245500,249000,249650,249000,240000,235000,235000,239900,247700,249900,250000,259000,264900,265000,265000,259900,254722,250000,250000,249900,250000,253950,254900,259950,261000,267900,265000,264900,262974.5,258900,259000,252458.5,256975,260000,274450,279900,279900,287350,285000,285000
46,Shelby,TN,Memphis,47,157,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139900,137500,137500,125000,129900,139900,137950,144400,145000,144000,137900,130000,118900,118900,119900,125000,124900,129900,138500,144300,145000,136900,129500,129900,126750,120000,120000,119000,120900,132000,139900,145000,155000,149900,144900,144700,135000,129900,120000,124950,129997.5,144900,149999.5,155000,160000,159900,159900
47,Fulton,GA,Atlanta,13,121,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,211660,204000,217900,238900,254900,257700,265000,265000,259000,249000,241840,234257,225000,234900,242000,249000,254600,260000,269900,259900,264900,264500,269900,263602.5,259000,259900,267986,281950,299900,314900,300000,308000,299900,299900,306545,305653.5,299000,295000,307245,339000,359900,360000,369900,355000,346000,354000
48,Mecklenburg,NC,Charlotte,37,119,49,170000,175000,174900,175000,172900,172500,169900,170000,178000,158000,145000,140000,139900,140000,148085,150000,157990,159900,159900,159000,149999,149900,140000,139900,150000,157900,159900,155000,155800,158900,157000,158500,154900,156990,180000,185000,187990,199000,205787.5,211000,212900,212990,210000,209900,209900,208000,203500,200000,194900,199876,210000,217500,219900,219999,219250,216900,215000,217990,214900,214000,217990,228000,229114.5,239000,245000,248000,249500,248410,242990,249900,247536,245000,254800,264975,275000,279900,284900,283999,285000,278500,275000,279900,280000,284990,280499,282000,289917.5,299999,300000,300995,295990,294990,299000
49,Erie,NY,Buffalo,36,29,50,135000,139900,144050,139900,144900,142900,139900,139900,139900,139000,139900,139900,139900,143900,142900,144500,148900,149900,149900,149000,145900,145000,145000,144900,145000,140000,144900,149900,149900,148900,142500,144998.5,142900,139900,144900,144900,140000,144500,143400,149900,149900,149900,148250,144900,146000,140000,139800,137700,135000,139900,142000,144900,149700,154900,154900,149900,149900,148950,145000,144650,147949.5,149900,149900,150000,155000,159900,159000,154900,158500,154900,150000,149900,149900,149900,149900,152900,159900,162900,159000,154900,154900,149900,149900,149900,149900,149900,155816.5,164900,164900,169900,169900,169900,169900
50,Du Page,IL,Chicago,17,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,267500,269000,279000,289000,289000,299000,299900,298995,295000,292900,290000,289900,287000,289900,295000,299900,299000,299900,299994.5,299999,299990,299900,299900,299900,299000,299000,309999.5,319000,324900,325000,329900,329000,325000,325000,328850,329500,329900,329900,339000,339500,342000,341000,339990,339900,335000,334999
51,Fairfield,CT,Stamford,9,1,52,,,479900,479900,489900,488000,479900,474900,479900,479900,479000,450000,459900,458000,459000,469900,475000,475000,468000,450000,449000,449000,444900,439000,435000,449000,455000,469900,479000,479000,451450,439900,460000,460000,469900,460000,460000,495000,499000,499000,508997.5,509900,499925,489900,499000,499000,485000,479900,475000,495000,520995,539000,530000,525000,499900,498700,489900,485997.5,475000,465000,469000,489900,500000,499900,517000,519000,509000,499000,499999.5,499995,499000,490000,495000,515000,525000,535000,530000,544000,539000,520000,525000,519947.5,525000,499000,499000,534995,549000,558544.5,559000,555000,549500,519900,549900
52,Pinellas,FL,Tampa,12,103,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162500,165000,165000,169900,174900,175000,172500,174900,179900,182950,184900,182500,175000,170250,179900,190000,189900,188800,189900,190000,195000,207900,209850,209000,210000,214900,215000,219000,224900,229000,230000,234500,235000,232900,239000,239900,245900,245250,249900,257500,259900,270000,275000,275000,275000,270000,275000
53,Bergen,NJ,New York,34,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,439000,429999,439000,449955,455000,469949.5,465000,469000,465000,469000,459000,455000,449000,449000,449900,468000,475000,479000,485000,480000,479000,475000,479900,481100,479000,469000,469000,480000,499000,499950,500000,509900,499900,499000,499000,499000,490000,488000,496500,514999,529900,549000,549000,549000,549000,539000
54,Marion,IN,Indianapolis,18,97,55,104900,105000,109486,109000,107500,107500,104921,104900,109900,109900,110000,105133.5,104990,105000,106990,109000,109990,112500,112900,109900,109900,109900,105000,100000,100000,100000,103900,105000,107900,108900,107700,105000,105000,104900,104900,104899,102000,105000,110000,114900,116900,118875,117900,115900,117000,115500,114900,112235,110000,114900,119875,120000,124900,125000,124900,124900,120900,119900,119000,114900,114900,115000,119900,120000,124999,124900,124900,119900,119900,117900,115900,114500,108700,109500,113900,117500,120000,122900,120000,120000,120000,120000,119991,118900,119000,119900,125000,132900,139900,144000,140000,140000,145900
